Model,Dimensionality Reduction,Focus Metric,DISCO,DBCV,DSI,Silhouette Score
K-means,None,Comprehensive,0.1981590300708908,-0.9767148262715802,0.145,0.189
K-means,PCA,Comprehensive,0.20190961831500048,-0.9766218128578799,0.144,0.191
K-means,Autoencoder,Comprehensive,0.33928584828227587,-0.9918725884085713,0.194,0.309
K-means,Shap,Comprehensive,0.19844222529624578,-0.9825313246687879,0.182,0.212
Hierarchical,None,Comprehensive,-0.11606684019263941,-0.9019488804101904,0.17,-0.118
Hierarchical,PCA,Comprehensive,0.288457363471109,-0.9890204257964764,0.103,0.2
Hierarchical,Autoencoder,Comprehensive,0.7168681753813755,-0.9969750341001602,0.244,0.572
Hierarchical,Shap,Comprehensive,0.16439151737809188,-0.993611444235077,0.285,0.174
GMM,None,Comprehensive,0.3792171258822338,-0.9932070305903453,0.201,0.34
GMM,PCA,Comprehensive,0.40004798331902336,-0.9912368830216302,0.195,0.352
GMM,Autoencoder,Comprehensive,0.335481287014478,-0.9950213863645341,0.189,0.295
GMM,Shap,Comprehensive,0.48016425156744225,-0.9702640945972513,0.239,0.396
Spectral,None,Comprehensive,0.21201304877846455,-0.9767975373244242,0.168,0.216
Spectral,PCA,Comprehensive,0.21914700777922735,-0.9832090229139073,0.162,0.218
Spectral,Autoencoder,Comprehensive,0.46909464097821285,-0.9888146948167854,0.219,0.41
Spectral,Shap,Comprehensive,0.2784501147068326,-0.9910683011240341,0.217,0.291
DBSCAN,None,Comprehensive,-0.36647018698335904,0.7991050125712447,0.221,0.412
DBSCAN,PCA,Silhouette,-0.3817352198060938,0.7999995651449482,0.215,0.409
DBSCAN,Autoencoder,DISCO,0.40187727063132533,0.814008054669527,0.18,0.397
DBSCAN,Shap,Comprehensive,-0.29941296740682094,0.7964224519173315,0.238,0.441
HDBSCAN,None,Comprehensive,0.42906275624009127,0.8399399315640403,0.368,0.44
HDBSCAN,PCA,DBCV,-0.3125217735802071,0.7448576778858761,0.362,-0.281
HDBSCAN,Autoencoder,DBCV,-0.23652757975193217,0.7833065958884549,0.16,-0.033
HDBSCAN,Shap,Comprehensive,0.16422895648705105,0.7975805313014505,0.249,-0.216
SHADE,Autoencoder,Comprehensive,-0.10780092026113305,0.6458975978579832,0.139,0.117
